year,id,title,link,status,author,cofauthor,corauthor,level,venue,note
2025,curated-3da9b9dbbe84,Tightening Robustness Verification of MaxPool-based Neural Networks via Minimizing the Over-Approximation Zone,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=HQWxCnkAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=HQWxCnkAAAAJ:HkunuPqSaCsC,published,Yuan Xiao;Yuchen Chen;Shiqing Ma;Chunrong Fang;Tongtong Bai;Mingzheng Gu;Yuxin Cheng;Yanwei Chen;Zhenyu Chen,,,CCF-A,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),
2025,refresh-eb7da9aa735e,Understanding LLM-Centric Challenges for Deep Learning Frameworks: An Empirical Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=HQWxCnkAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=HQWxCnkAAAAJ:YIdQ7BAI8VoC,published,Yanzhou Mu;Rong Wang;Juan Zhai;Chunrong Fang;Xiang Chen;Jiacong Wu;An Guo;Jiawei Shen;Bingzhuo Li;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2025,curated-1b9f0edc6783,When Autonomous Vehicle Meets V2X Cooperative Perception: How Far Are We?,https://doi.org/10.1109/ASE63991.2025.00101,published,An Guo;Shuoxiao Zhang;Enyi Tang;Xinyu Gao;Haomin Pang;Haoxiang Tian;Yanzhou Mu;Wu Wen;Chunrong Fang;Zhenyu Chen,,,CCF-A,IEEE/ACM International Conference on Automated Software Engineering (ASE),
2024,refresh-1b670ad1144e,A Large-Scale Empirical Study of Actionable Warning Distribution Within Projects,https://doi.org/10.1109/tdsc.2024.3476315,published,Xiuting Ge;Chunrong Fang;Xuanye Li;Qirui Zheng;Jia Liu;Zhihong Zhao;Zhenyu Chen,,,CCF-A,IEEE Transactions on Dependable and Secure Computing,
2024,refresh-18eefb3d2a0c,A Survey of Learning-based Method Name Prediction,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=S3Rd5TgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=S3Rd5TgAAAAJ:7wO8s98CvbsC,published,Hanwei Qian;Wei Liu;Tingting Xu;Jie Yin;Xia Feng;Weisong Sun;Ziqi Ding;Yuchen Chen;Yun Miao;Jiaxun Li;Jianhua Zhao;Chunrong Fang,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2024,curated-fd331ef3be82,A Survey of Source Code Search: A 3-Dimensional Perspective,https://doi.org/10.1145/3656341,published,Weisong Sun;Chunrong Fang;Yifei Ge;Yuling Hu;Yuchen Chen;Quanjun Zhang;Xiuting Ge;Yang Liu;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2024,refresh-e8cdced30305,A Systematic Literature Review on Large Language Models for Automated Program Repair,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=S3Rd5TgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=S3Rd5TgAAAAJ:bz8QjSJIRt4C,published,Quanjun Zhang;Chunrong Fang;Yang Xie;Yuxiang Ma;Weisong Sun;Yun Yang;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2024,curated-e89040bb5c4a,An Extractive-and-Abstractive Framework for Source Code Summarization,https://doi.org/10.1145/3632742,published,Weisong Sun;Chunrong Fang;Yuchen Chen;Quanjun Zhang;Guanhong Tao;Yudu You;Tingxu Han;Yifei Ge;Yuling Hu;Bin Luo;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2024,curated-43b00b68d079,APPT: Boosting Automated Patch Correctness Prediction via Fine-Tuning Pre-Trained Models,https://doi.org/10.1109/tse.2024.3354969,published,Quanjun Zhang;Chunrong Fang;Weisong Sun;Yan Liu;Tieke He;Xiaodong Hao;Zhenyu Chen,,,CCF-A,IEEE Transactions on Software Engineering,
2024,refresh-3853a57fe546,Benchmarking Object Detection Robustness against Real-World Corruptions,https://doi.org/10.1007/s11263-024-02096-6,published,Jiawei Liu;Zhijie Wang;Lei Ma;Chunrong Fang;Tongtong Bai;Xufan Zhang;Jia Liu;Zhenyu Chen,,,CCF-A,International Journal of Computer Vision,
2024,curated-ba703bbbe952,CooTest: An Automated Testing Approach for V2X Communication Systems,https://doi.org/10.1145/3650212.3680373,published,An Guo;Xinyu Gao;Zhenyu Chen;Yuan Xiao;Jiakai Liu;Xiuting Ge;Weisong Sun;Chunrong Fang,,,CCF-A,International Symposium on Software Testing and Analysis (ISSTA),
2024,refresh-940a97fa7855,COPS: An improved information retrieval-based bug localization technique using context-aware program simplification,https://doi.org/10.1016/j.jss.2023.111868,published,Yilin Yang;Ziyuan Wang;Zhenyu Chen;Baowen Xu,,,CCF-B,Journal of Systems and Software,
2024,refresh-c7abffc12eaf,Coverage Goal Selector for Combining Multiple Criteria in Search-Based Unit Test Generation,https://doi.org/10.1109/tse.2024.3366613,published,Zhichao Zhou;Yuming Zhou;Chunrong Fang;Zhenyu Chen;Xiapu Luo;Jingzhu He;Yutian Tang,,,CCF-A,IEEE Transactions on Software Engineering,
2024,curated-5a95f0b6f39d,DevMuT: Testing Deep Learning Framework via Developer Expertise-Based Mutation,https://doi.org/10.48550/arXiv.2507.04360,accepted,Yanzhou Mu;Juan Zhai;Chunrong Fang;Xiang Chen;Zhixiang Cao;Peiran Yang;Yinglong Zou;Tao Zheng;Zhenyu Chen,,,CCF-A,International Conference on Automated Software Engineering (ASE),
2024,refresh-64b35efcd915,DiPri: Distance-Based Seed Prioritization for Greybox Fuzzing,https://doi.org/10.1145/3654440,published,Ruixiang Qian;Quanjun Zhang;Chunrong Fang;Ding Yang;Shun Li;Binyu Li;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2024,curated-86991bffeb48,"Effective, Platform-Independent GUI Testing via Image Embedding and Reinforcement Learning",https://doi.org/10.1145/3674728,published,Shengcheng Yu;Chunrong Fang;Xin Li;Yuchen Ling;Zhenyu Chen;Zhendong Su,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2024,curated-d42bb29a142a,Enhanced Crowdsourced Test Report Prioritization via Image-and-Text Semantic Understanding and Feature Integration,https://doi.org/10.1109/tse.2024.3516372,published,Chunrong Fang;Shengcheng Yu;Quanjun Zhang;Xin Li;Yulei Liu;Zhenyu Chen,,,CCF-A,IEEE Transactions on Software Engineering,
2024,curated-19796170dd2c,Esale: Enhancing Code-Summary Alignment Learning for Source Code Summarization,https://doi.org/10.1109/tse.2024.3422274,published,Chunrong Fang;Weisong Sun;Yuchen Chen;Xiao Chen;Zhao Wei;Quanjun Zhang;Yudu You;Bin Luo;Yang Liu;Zhenyu Chen,,,CCF-A,IEEE Transactions on Software Engineering,
2024,refresh-dd5a892300c0,Improving actionable warning identification via the refined warning-inducing context representation,https://doi.org/10.1007/s11432-023-3975-6,published,Xiuting Ge;Chunrong Fang;Xuanye Li;Quanjun Zhang;Jia Liu;Zhihong Zhao;Zhenyu Chen,,,CCF-A,Science China Information Sciences,
2024,refresh-1020bf0d1ee1,Machine Translation Testing via Syntactic Tree Pruning,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=S3Rd5TgAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=S3Rd5TgAAAAJ:5qfkUJPXOUwC,published,Quanjun Zhang;Juan Zhai;Chunrong Fang;Jiawei Liu;Weisong Sun;Haichuan Hu;Qingyu Wang,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2024,curated-6c7f5df3369a,MultiTest: Physical-Aware Object Insertion for Testing Multi-sensor Fusion Perception Systems,https://doi.org/10.1145/3597503.3639191,published,Xinyu Gao;Zhijie Wang;Yang Feng;Lei Ma;Zhenyu Chen;Baowen Xu,,,CCF-A,International Conference on Software Engineering (ICSE),
2024,curated-6678e4efb6ab,Mutation-Based Deep Learning Framework Testing Method in JavaScript Environment,https://doi.org/10.1145/3691620.3695478,published,Yinglong Zou;Juan Zhai;Chunrong Fang;Jiawei Liu;Tao Zheng;Zhenyu Chen,,,CCF-A,International Conference on Automated Software Engineering (ASE),
2024,curated-1a579234d82e,Practical Non-Intrusive GUI Exploration Testing with Visual-based Robotic Arms,https://doi.org/10.1145/3597503.3639161,published,Shengcheng Yu;Chunrong Fang;Mingzhe Du;Yuchen Ling;Zhenyu Chen;Zhendong Su,,,CCF-A,International Conference on Software Engineering (ICSE),
2024,curated-c7240d81a5ad,"Practical, Automated Scenario-Based Mobile App Testing",https://doi.org/10.1109/tse.2024.3414672,published,Shengcheng Yu;Chunrong Fang;Mingzhe Du;Zimin Ding;Zhenyu Chen;Zhendong Su,,,CCF-A,IEEE Transactions on Software Engineering,
2024,curated-4479ee0e923d,Semantic-guided fuzzing for virtual testing of autonomous driving systems,https://doi.org/10.1016/j.jss.2024.112017,published,An Guo;Yang Feng;Yizhen Cheng;Zhenyu Chen,,,CCF-B,Journal of Systems and Software,
2024,curated-e6a405cfd337,Semi-supervised Crowdsourced Test Report Clustering via Screenshot-Text Binding Rules,https://doi.org/10.1145/3660776,published,Shengcheng Yu;Chunrong Fang;Quanjun Zhang;Mingzhe Du;Jia Liu;Zhenyu Chen,,,CCF-A,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (FSE/ESEC),
2024,curated-f8a6193e4c37,SoVAR: Build Generalizable Scenarios from Accident Reports for Autonomous Driving Testing,https://doi.org/10.1145/3691620.3695037,published,An Guo;Yuan Zhou;Haoxiang Tian;Chunrong Fang;Yunjian Sun;Weisong Sun;Xinyu Gao;Anh Tuan Luu;Yang Liu;Zhenyu Chen,,,CCF-A,International Conference on Automated Software Engineering (ASE),
2024,refresh-3f5dc69948cd,Test Case Generation for Ethereum Smart Contracts Based on Cross-Contract Data Flow Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=HQWxCnkAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=HQWxCnkAAAAJ:Qy-rCirNo-8C,published,Xingya Wang;Yumao Yang;Linwei Liu;Zhenyu Chen;Song Huang,,,CCF-B,IEEE Transactions on Reliability,
2024,curated-f63cdc64ea9e,Towards General Robustness Verification of MaxPool-Based Convolutional Neural Networks via Tightening Linear Approximation,https://doi.org/10.1109/CVPR52733.2024.02339,published,Yuan Xiao;Shiqing Ma;Juan Zhai;Chunrong Fang;Jinyuan Jia;Zhenyu Chen,,,CCF-A,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),
2024,curated-e44f9709e52c,TransformCode: A Contrastive Learning Framework for Code Embedding via Subtree Transformation,https://doi.org/10.1109/tse.2024.3393419,published,Zixiang Xian;Rubing Huang;Dave Towey;Chunrong Fang;Zhenyu Chen,,,CCF-A,IEEE Transactions on Software Engineering,
2023,curated-0c9229bb4729,A Survey of Learning-based Automated Program Repair,https://doi.org/10.1145/3631974,published,Quanjun Zhang;Chunrong Fang;Yuxiang Ma;Weisong Sun;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2023,refresh-b81de2d093de,An Empirical Study of Class Rebalancing Methods for Actionable Warning Identification,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=S3Rd5TgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=S3Rd5TgAAAAJ:XD-gHx7UXLsC,published,Xiuting Ge;Chunrong Fang;Tongtong Bai;Jia Liu;Zhihong Zhao,,,CCF-B,IEEE Transactions on Reliability,
2023,publication-41,Are duplicates really harmful? An empirical study on bug report summarization techniques,https://doi.org/10.1002/smr.2424,published,Rui Hao;Yuying Li;Yang Feng;Zhenyu Chen,,,CCF-B,Journal of Software: Evolution and Process,
2023,refresh-c208719baef2,Backdooring Neural Code Search,https://doi.org/10.18653/v1/2023.acl-long.540,published,Weisong Sun;Yuchen Chen;Guanhong Tao;Chunrong Fang;Xiangyu Zhang;Quanjun Zhang;Bin Luo,,,CCF-A,Annual Meeting of the Association for Computational Linguistics (ACL),
2023,refresh-a2f80160c1b1,Benchmarking Robustness of AI-Enabled Multi-sensor Fusion Systems: Challenges and Opportunities,https://doi.org/10.1145/3611643.3616278,published,Xinyu Gao;Zhijie Wang;Yang Feng;Lei Ma;Zhenyu Chen;Baowen Xu,,,CCF-A,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (FSE/ESEC),
2023,refresh-4fa82492b4e8,Crowdsourced test case generation for android applications via static program analysis,https://doi.org/10.1007/s10515-023-00394-w,published,Yuying Li;Yang Feng;Chao Guo;Zhenyu Chen;Baowen Xu,,,CCF-B,Automated Software Engineering,
2023,refresh-78149d08d6e5,Deep learning framework testing via hierarchical and heuristic model generation,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=S3Rd5TgAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=S3Rd5TgAAAAJ:0KyAp5RtaNEC,published,Yinglong Zou;Haofeng Sun;Chunrong Fang;Jiawei Liu;Zhenping Zhang,,,CCF-B,Journal of Systems and Software,
2023,curated-69e416500a75,Dynamic Data Fault Localization for Deep Neural Networks,https://doi.org/10.1145/3611643.3616345,published,Yining Yin;Yang Feng;Shihao Weng;Zixi Liu;Yuan Yao;Yichi Zhang;Zhihong Zhao;Zhenyu Chen,,,CCF-A,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (FSE/ESEC),
2023,refresh-0abc3fedef8c,Evaluating Ethereum Reentrancy Detection Tools via Mutation Testing,https://doi.org/10.1109/issre59848.2023.00067,published,Kaitai Zhu;Xingya Wang;Zhenyu Chen;Song Huang;Junhua Wu,,,CCF-B,IEEE International Symposium on Software Reliability Engineering (ISSRE),
2023,curated-679b2cef2437,Gamma: Revisiting Template-Based Automated Program Repair Via Mask Prediction,https://doi.org/10.1109/ase56229.2023.00063,published,Quanjun Zhang;Chunrong Fang;Tongke Zhang;Bowen Yu;Weisong Sun;Zhenyu Chen,,,CCF-A,International Conference on Automated Software Engineering (ASE),
2023,curated-7ab5cd6cdef3,Generation-based Differential Fuzzing for Deep Learning Libraries,https://doi.org/10.1145/3628159,published,Jiawei Liu;Yuheng Huang;Zhijie Wang;Lei Ma;Chunrong Fang;Mingzheng Gu;Xufan Zhang;Zhenyu Chen,,,CCF-A,ACM Transactions on Software Engineering and Methodology,
2023,refresh-4d248b650006,Iterative Android automated testing,https://doi.org/10.1007/s11704-022-1658-8,published,Yi Zhong;Mengyu Shi;Youran Xu;Chunrong Fang;Zhenyu Chen,,,CCF-B,Frontiers of Computer Science,
